,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
89,Noise,"Forest Green, True Wireless","('50H', 'H')",₹999,"₹3,499",4,"(5,95,118)",71% off
90,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
91,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
92,Number,"Glass Black, True Wireless",,₹799,"₹4,999",4,"(20,786)",84% off
93,boAt,"Rose Quartz, True Wireless",,"₹2,299","₹13,990",4.2,"(85,470)",83% off
94,TRIGGR,"Olive Tangerine, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
95,Mivi,"Pearl Black, True Wireless",,₹999,"₹4,999",4,"(11,039)",80% off
96,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
97,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
98,Noise,"Soft Purple, True Wireless","('50H', 'H')",₹999,"₹3,499",4,"(5,95,118)",71% off
99,OPPO,"Lilac blue, True Wireless","('28 hours', 'hours')","₹1,599","₹3,999",4.3,"(4,16,231)",60% off
100,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
101,Nu,"Sterling Silver, True Wireless","('56h', 'h')",₹849,"₹2,999",4.7,(317),71% off
102,Apple,"White, True Wireless",,"₹12,764","₹12,900",4.4,(817),1% off
103,truke,"Sunset Black, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(2,972)",71% off
104,Mivi,"Nexus Black, True Wireless",,"₹2,199","₹6,499",4,"(1,473)",66% off
105,boAt,"Ivory White, True Wireless","('120 Hours', 'Hours')","₹1,549","₹7,990",4.1,"(1,05,690)",80% off
106,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
107,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
108,Mivi,"Grey, True Wireless",,₹899,"₹3,499",4,"(31,203)",74% off
109,boAt,"Blue, True Wireless","('50 HRS', 'HRS')","₹1,499","₹6,999",4,"(12,48,011)",78% off
110,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
111,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
112,boAt,"Black, True Wireless",,"₹1,499","₹6,990",4,"(19,42,709)",78% off
113,boAt,"Quartz white, True Wireless","('120HRS', 'HRS')","₹1,899","₹9,990",4.1,"(1,05,690)",80% off
114,boAt,"Swidish White, True Wireless","('50 HRS', 'HRS')","₹1,399","₹5,990",4.1,"(1,09,463)",76% off
115,Boult,"Coral White, True Wireless","('55H', 'H')",₹899,"₹2,499",4,"(12,810)",64% off
116,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
117,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
118,Mivi,"Black, True Wireless",,₹899,"₹3,499",4,"(31,203)",74% off
119,boAt,"Sporty Blue, True Wireless","('50 HRS', 'HRS')","₹1,399","₹5,990",4.1,"(1,09,463)",76% off
120,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
121,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
122,boAt,"Gunmetal Black, True Wireless",,"₹2,799","₹17,990",4,"(1,051)",84% off
123,Boult,"Smoky Metal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,19,280)",65% off
124,OnePlus,"Melodic White, True Wireless",,"₹2,299","₹2,799",4.3,"(11,278)",17% off
125,CMF,"Light Grey, True Wireless",,"₹2,299","₹2,999",4.3,"(43,001)",23% off
126,PTron,"Blue, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(194),81% off
